date,policy,
31-Jul-20,Governor Gavin Newsom today signed an executive order addressing statutory requirements impacted by the COVID-19 pandemic.,
03-Aug-20,"Coronavirus response coordinator Deborah Birx, MD, says the United States has entered a new phase of the pandemic, as widespread cases nationwide differ from early concentrated outbreaks first reported in March and April.",
06-Aug-20,"The U.S. State Department, in coordination with the CDC, lifts its Global Level 4 Health Advisory that had been in place since March 19. With changing COVID-19 conditions, the Department is returning to its previous system of country-specific levels of travel advice.",
06-Aug-20,"POTUS signs an Executive Order on ensuring essential medicines, medical countermeasures, and critical inputs are made in the United States.",
07-Aug-20,"Stimulus checks from the first package rolled out seemingly quickly, but talks stallbetween the White House and Democrats on a potential subsequent round of relief, even as jobless claims reach a record high of 1.186 million. Trump continues to claim he will issue executive orders if a deal cannot be reached.",
08-Aug-20,POTUS signs an Executive Order on fighting the spread of COVID-19 by providing assistance to renters and homeowners.,
08-Aug-20,POTUS extends student loan payment relief during COVID-19 through the end of the year.,
08-Aug-20,the U.S. passed 5 million COVID-19 cases.,
10-Aug-20,Governor Newsom Announces $81.8 Million in Commitments to Support Isolation and Quarantine Efforts in Communities Disproportionately Impacted by COVID-19 ,
11-Aug-20,"Despite still waiting on final data, the Trump administration reportedly agrees to pay $1.5 billion to Moderna for 100 million doses of its vaccine candidate, mRNA-1273, or an average per-dose price of $15.",
13-Aug-20,"Still a presidential nominee, Joe Biden calls on all governors to require their citizens to wear masks anytime they go out in public through November, and he claims he will mandate the practice if elected.",
14-Aug-20,California Schools Receive Critical Funds to Support Distance Learning and Governor Newsom Signs Executive Order Directing State Agencies to Bridge Digital Divide,
15-Aug-20,"The federal agency issues an EUA for SalivaDirect, a test developed by researchers at the Yale School of Public Health that is less invasive compared with the current standard nasal swabs.",
17-Aug-20,"In just 4 days, there’s been a 3.2% uptick in COVID-19–related deaths, to 170,434, giving the disease a No. 3 ranking behind heart disease in the top spot and cancer at No. 2. Deaths now exceed 1000 per day and nationwide cases exceed 5.4 million.",
23-Aug-20,The Food and Drug Administration has issued an emergency use authorization for convalescent plasma to treat COVID-19.,
24-Aug-20,Governor Gavin Newsom today issued an executive order to help increase the availability of CLIA-waived COVID-19 testing and address a variety of issues in response to the pandemic.,
25-Aug-20,"The CDC quietly changes its guidance on who should get tested for COVID-19, saying that individuals who are asymptomatic, but have been exposed, do not need testing.",
25-Aug-20,"POTUS announces additional steps, including new testing requirements, to help protect nursing home residents from COVID-19.",
26-Aug-20,"Governor Newsom Announces Major Plan to More than Double State’s Testing Capacity, Reduce Turnaround Time",
26-Aug-20,Governor Gavin Newsom today signed an executive order to assist elections officials as they prepare for the upcoming election amid the COVID-19 pandemic,
27-Aug-20,"The Trump Administration announces its purchase and production of 150 million rapid COVID-19 tests, to be distributed across the country.",
28-Aug-20,"Governor Newsom Unveils Blueprint for a Safer Economy, a Statewide, Stringent and Slow Plan for Living with COVID-19",
28-Aug-20,Governor Newsom Signs Executive Order to Help Increase State’s Testing Capacity,
28-Aug-20,"A 25-year-old man from Nevada became reinfected with COVID-19 in late May after recovering from a mild case in April, reports say. It marks the first reported case of reinfection in the United States; the second occurrence resulted in a much more severe case, requiring hospitalization and oxygen.",
29-Aug-20,AstraZeneca begins Phase 3 vaccine clinical trials.,
31-Aug-20,Governor Newsom Signs Statewide COVID-19 Tenant and Landlord Protection Legislation,
31-Aug-20,the U.S. passed 6 million COVID-19 cases.,
01-Sep-20,"The United States says it will not participate in an initiative by the WHO to develop, make, and distribute a COVID-19 vaccine. COVAX,",
01-Sep-20,"The CDC is using its authority, derived from POTUS' 8 Aug. Executive Order on assisting renters/homeowners, to temporarily halt evictions through the end of 2020 to slow the spread of COVID-19.",
03-Sep-20,Governor Gavin Newsom today signed an executive order extending consumer protections against price gouging,"Findings from a research letter published in the New England Journal of Medicine indicate that levels of antibodies against SARS-CoV-2, the virus that causes COVID-19, dropped dramatically across the first 3 months of infection"
08-Sep-20,The phase 3 trial for AstraZeneca’s potential COVID-19 vaccine is halted for a safety data review following an unknown adverse reaction in a patient.,
09-Sep-20,"Governor Newsom Signs Bills to Support Small Businesses Grappling with Impact of COVID-19 Pandemic, Bolster Economic Recovery",
09-Sep-20,Governor Newsom Signs Bill Immediately Ensuring Access to Paid Sick Leave for Every California Employee,
14-Sep-20,"The government announces it will stop screenings taking place at some airports since January. In March, incoming flights from high-risk countries, including China, Iran, and much of Europe, were funneled through 15 designated airports, but as of September 14, the flights will no longer be redirected and all passenger screenings will be halted.",
14-Sep-20,"After initially aiming to recruit 30,000 participants, Pfizer and BioNTech announce they will expand the phase 3 trial of their COVID-19 vaccine by 50% to 44,000.",
14-Sep-20,"After AstraZeneca put its phase 3 trial on hold, the NIH announces it is launching an investigation into the adverse reaction before the FDA decides whether or not to resume the trial.",
15-Sep-20,A study published in Morbidity and Mortality Weekly Report finds that people who recently tested positive for COVID-19 were 2.4 times more likely to have dined out.,
16-Sep-20,Governor Gavin Newsom announced that Washington and Oregon will participate with California in piloting a project to test promising exposure notification technology,
16-Sep-20,"Trump Administration Releases Vaccine Distribution Plan: A plan devised by HHS and the DOD aims to make a COVID-19 vaccine free for all Americans, with the vaccine being rolled out in January 2021.",
17-Sep-20,Governor Newsom signed legislation that expand access to workers’ compensation and require employers to notify local officials and employees of COVID-19 outbreaks in the workplace,
17-Sep-20,"Europe reports a sharp increase in COVID-19 cases, with numbers growing at a higher rate than they did during the previous peak in March.",
21-Sep-20,The CDC removes guidance from its website that had been posted 3 days earlier saying that the transmission of COVID-19 is airborne.,
21-Sep-20,Johnson & Johnson announces that it began a large phase 3 clinical trial of its COVID-19 vaccine candidate.,
22-Sep-20,"the United States surpassed 200,000 deaths from COVID-19.",
23-Sep-20,"Governor Gavin Newsom signed an executive order to extend authorization for local governments to halt evictions for commercial renters impacted by the COVID-19 pandemic through March 31, 2021",
23-Sep-20,Johnson & Johnson begins Phase 3 vaccine clinical trials.,
25-Sep-20,"Over the course of September, Midwest states experience a dramatic rise in COVID-19 cases, with South Dakota alone having a 166% increase and 10 other states reporting record 1-day increases.",
25-Sep-20,the U.S. passed 7 million COVID-19 cases.,
28-Sep-20,"The number of deaths linked to COVID-19 worldwide crosses the 1 million mark, according to The New York Times, surpassing the deaths caused by HIV, dysentery, malaria, influenza, cholera, and measles combined in 2020.",
02-Oct-20,President Trump announces that he and First Lady Melania Trump have tested positive for COVID-19.,
02-Oct-20,"President Donald Trump and First Lady Melania Trump tested positive for COVID-19, among other officials during the White House COVID-19 outbreak.",
05-Oct-20,"After 3 days, Trump is discharged from the hospital and transported back to the White House, where he would continue to receive treatment for COVID-19 and be monitored.",
08-Oct-20,"In an editorial published by the New England Journal of Medicine (NEJM), 34 editors call out the Trump administration’s response of the COVID-19 pandemic, stating that leaders have “taken a crisis and turned it into a tragedy.”",
08-Oct-20,"39 states report seeing a rise in COVID-19 cases. Nine states set 7-day records for infections, and Wisconsin and Hawaii report a record number for deaths in a 7-day period.",
08-Oct-20,"By this date, the cluster of people infected by the COVID-19 outbreak connected to the Rose Garden ceremony for Supreme Court Justice Amy Coney Barrett has grown to 34, including several White House staff members, according to The Washington Post.",
09-Oct-20,"The Trump administration signed a $486 million agreement with AstraZeneca to develop an antibody treatment for COVID-19, which would call for HHS and the DOD to work with the company to roll out late-stage development and large-scale manufacturing of AZD7442, a cocktail of 2 monoclonal antibodies with potential to treat or prevent the disease.",
12-Oct-20,"Johnson & Johnson halts recruitment for its phase 3 ENSEMBLE trial for its COVID-19 vaccine halts vaccine trial over a patient’s unexplained illness, a development first reported in POLITICO.",
15-Oct-20,"The United States reports 60,000 new COVID-19 cases, a number not reached since early August. Cases rise countrywide, and 44 states report caseloads surpassing those seen in mid-September. More rural states see numbers even higher than during first waves in the spring.",
16-Oct-20,The Department of Health and Human Services and DOD announce agreements with CVS and Walgreens to provide COVID-19 vaccine with no out-of-pocket costs to protect vulnerable Americans in long-term care facilities nationwide once vaccines are available and recommended for them.,
16-Oct-20,the U.S. passed 8 million COVID-19 cases.,
19-Oct-20,Governor Newsom named Scientific Safety Review Workgroup to advise state on COVID-19 vaccines  ,
19-Oct-20,Data from Johns Hopkins University indicate that COVID-19 cases have topped 40 million worldwide as the United States and other countries see their highest rates of new cases in months.,
20-Oct-20,The California Department of Public Health (CDPH) released new guidance and made updates to the Blueprint for a Safer Economy,
23-Oct-20,AstraZeneca and Johnson & Johnson announce plans to restart clinical trials for their respective COVID-19 vaccine candidates after they both stopped due to safety concerns.,
26-Oct-20,California Department of Public Health named drafting guidelines workgroup to advise state on COVID-19 vaccines,
27-Oct-20,Western States joined California’s Scientific Safety Review Workgroup to ensure safety of COVID-19 vaccine  ,
28-Oct-20,"Governor Gavin Newsom issued an executive order directing the California Department of Transportation to create a process for issuing temporary encroachment permits, allowing people 70 years of age or older to renew their drivers’ licenses by mail, and extending provisions related to deadlines for the payment of real estate license application and renewal fees",
30-Oct-20,"Governor Gavin Newsom announced the opening of an innovative new laboratory in California that will increase the state’s COVID-19 testing capacity, reduce test turnaround time and create hundreds of new California jobs.",
30-Oct-20,the U.S. passed 9 million COVID-19 cases.,
05-Nov-20,"the U.S. reported a single-day count of more than 100,000 new cases for the first time",
09-Nov-20,the U.S. passed 10 million COVID-19 cases.,
13-Nov-20,"California Governor Gavin Newsom, Oregon Governor Kate Brown and Washington Governor Jay Inslee issued travel advisories today urging visitors entering their states or returning home from travel outside these states to self-quarantine to slow the spread of the virus",
15-Nov-20,the U.S. passed 11 million COVID-19 cases.,
16-Nov-20,Governor Gavin Newsom and state public health officials announced pulling an emergency brake in the Blueprint for a Safer Economy resulting in 94.1 percent of California’s population in the most restrictive tier,
19-Nov-20,"Governor Gavin Newsom and the California Department of Public Health (CDPH) announced a limited Stay at Home Order requiring generally that non-essential work, movement and gatherings stop between 10 PM and 5 AM in counties in the purple tier.",
20-Nov-20,Governor Gavin Newsom announced the opening of the California Rebuilding Fund to help impacted small businesses rebuild from the economic crisis and keep local economies strong,
21-Nov-20,the U.S. passed 12 million COVID-19 cases.,
27-Nov-20,the U.S. passed 13 million COVID-19 cases.,
30-Nov-20,Governor Newsom Announces Immediate Assistance for Businesses Impacted by COVID-19 Including Temporary Tax Relief and $500 Million in Grants,
01-Dec-20,Governor Newsom Releases the Master Plan for Early Learning and Care: California for All Kids,
02-Dec-20,"the U.S. passed 14 million cases and also set records for the highest number of daily deaths (3,157), new infections (nearly 205k), and hospitalizations (over 100k)",
03-Dec-20,California Health Officials Announce a Regional Stay at Home Order Triggered by ICU Capacity,
07-Dec-20,"Governor Newsom Announces Statewide Expansion of CA Notify, a Smart Phone Tool Designed to Slow the Spread of COVID-19",
08-Dec-20,the U.S. passed 15 million cases,
11-Dec-20,U.S. Food and Drug Administration issues an Emergency Use Authorization to Pfizer for its COVID-19 vaccine.,
12-Dec-20,the U.S. passed 16 million cases,
14-Dec-20,"Governor Newsom Signs Executive Order on Actions in Response to COVID-19 12.14.20 which extrends the availability of housing for migrant agricultural workers, providing a 90-day extension on tax returns and tax payments for small businesses and updating Cal/OSHA requirements related to quarantine guidelines",
14-Dec-20,Governor Newsom Launches “Vaccinate All 58” Campaign based on Safety and Equity as First Vaccines Arrive to California,
14-Dec-20,The first COVID-19 vaccines begin distribution in the United States.,
14-Dec-20,"the U.S. surpassed 300,000 deaths",
16-Dec-20,"California Department of Public Health (CDPH) today launched the ""Mothers"" advertising campaign featuring real California moms urging people to stay home this holiday season.",
17-Dec-20,the U.S. passed 17 million cases,
18-Dec-20,U.S. Food and Drug Administration issues an Emergency Use Authorization for Moderna's COVID-19 vaccine.,
20-Dec-20,"Western States Scientific Safety Review Workgroup Recommends Moderna Vaccine, Confirms it is Safe and Efficacious",
21-Dec-20,the U.S. passed 18 million cases,
27-Dec-20,"POTUS signs into law H.R. 133, an Act making consolidated appropriations for the fiscal year ending September 30, 2021, providing Coronavirus emergency response and relief, and for other purposes.",
27-Dec-20,the U.S. passed 19 million cases,
28-Dec-20,"Governor Newsom today announced that California has opted in to the federal COVID-19 Pharmacy Partnership. At no cost to the state or local government, CVS and Walgreens will administer the Pfizer vaccine to residents and staff in long-term care facilities.",
30-Dec-20,"Governor outlines framework to continue and expand safe in-person instruction in early spring, including a $2 billion early action proposal to support school safety measures",
30-Dec-20,"a confirmed case of the new SARS-CoV-2 variant from the United Kingdom was reported in California. The patient is from Southern California, according to the announcement from Newsom.",
01-Jan-21,the U.S. passed 20 million cases,
05-Jan-21,the U.S. passed 21 million cases,
09-Jan-21,the U.S. passed 22 million cases,
13-Jan-21,the U.S. passed 23 million cases,
14-Jan-21,"Governor Gavin Newsom today announced the launch of transparency, accountability and assistance measures related to the Safe Schools for All Plan. The Safe Schools for All Hub – schools.covid19.ca.gov – was launched as a one-stop shop for information about safe in-person instruction, and will be updated frequently.",
17-Jan-21,California State Epidemiologist Dr. Erica S. Pan issued the following statement today recommending providers pause the administration of lot 41L20A of the Moderna COVID-19 vaccine due to possible allergic reactions that are under investigation.,
17-Jan-21,"California Department of Public Health (CDPH), in coordination with Santa Clara County and the University of California San Francisco (UCSF), announced that an L452R variant of COVID-19 is increasingly being identified by viral genomic sequencing in multiple counties across the state. The 452R variant has previously been detected in other countries and states, including California, and is now increasingly being found in multiple counties throughout California. The state is working with the Centers for Disease Control and Prevention (CDC), local public health departments and laboratory sequencing partners to learn more about the variant, including how it spreads.",
19-Jan-21,the U.S. passed 24 million cases,
19-Jan-21,"the U.S. surpassed 400,000 deaths",
20-Jan-21,POTUS notifies the United Nations Secretary-General that the United States intends to remain a member of the World Health Organization.,
20-Jan-21,POTUS signs an Executive Order that creates the position of Coordinator of the COVID-19 Response and Counselor to the President and takes other steps to organize the White House and activities of the Federal Government to combat COVID-19 and prepare for future biological and pandemic threats.,
20-Jan-21,POTUS signs an Executive Order on protecting the Federal workforce and requiring mask-wearing.,
21-Jan-21,POTUS signs an Executive Order on establishing the COVID-19 pandemic testing board and ensuring a sustainable public health workforce for COVID-19 and other biological threats.,
21-Jan-21,POTUS signs an Executive Order on supporting the reopening and continuing operation of schools and early childhood education providers.,
21-Jan-21,POTUS signs an Executive Order on promoting COVID-19 safety in domestic and international travel.,
21-Jan-21,POTUS signs an Executive Order on improving and expanding access to care and treatments for COVID-19.,
21-Jan-21,POTUS signs an Executive Order on ensuring an equitable pandemic response and recovery.,
21-Jan-21,POTUS signs an Executive Order on protecting worker health and safety.,
21-Jan-21,POTUS releases a National Security Directive on United States global leadership to strengthen the international COVID-19 response and to advance global health security and biological preparedness.,
21-Jan-21,The National Strategy for the COVID-19 Response and Pandemic Preparedness is released.,
22-Jan-21,POTUS signs an Executive Order on economic relief related to the COVID-19 pandemic.,
22-Jan-21,the U.S. passed 25 million cases,
25-Jan-21,"Governor Gavin Newsom today announced a series of improvements to the state’s vaccination plan. Incorporating lessons learned from efforts to increase the pace of vaccination, these new steps will make it easier for people to know when they are eligible for vaccination and how to make an appointment, accelerate the administration of vaccines on hand and improve the state’s ability to track vaccination data.",
25-Jan-21,"Regional Stay Home Order ended January 25, 2021. Counties returned to their appropriate tier under the Blueprint for a Safer Economy. Other state orders are still in place. See details below.",
25-Jan-21,POTUS issues a Proclamation on the suspension of entry as immigrants and non-immigrants of certain additional persons who pose a risk of transmitting coronavirus disease 2019.,
01-Feb-21,the U.S. passed 26 million cases,
03-Feb-21,"California Governor Gavin Newsom and the Biden-Harris Administration today announced a pilot project to establish community vaccination sites in Oakland and Los Angeles. These pilot sites, which will be based at the Oakland-Alameda Coliseum and California State University, Los Angeles, are part of the wider effort to establish 100 vaccination sites nationwide in the federal administration’s first 100 days. The sites will be co-run by the Federal Emergency Management Agency (FEMA) and the State of California through the Governor’s Office of Emergency Services (Cal OES).",
05-Feb-21,Governor Gavin Newsom today issued a statement commending the Biden-Harris Administration and Federal Emergency Management Agency (FEMA) for extending the federal cost share to now fully reimburse California and other states for emergency relief programs and National Guard personnel deployments dating back to the beginning of the COVID-19 pandemic.,
07-Feb-21,the U.S. passed 27 million cases,
09-Feb-21,FDA issues an Emergency Use Authorization for monoclonal antibodies to treat COVID-19.,
15-Feb-21,"California Launches New Multilingual, Statewide Ad Campaign Featuring Real California Mothers Urging Families to Get COVID-19 Vaccines",
16-Feb-21,The Administration announces extension of COVID-19 forbearance and foreclosure protections for homeowners.,
17-Feb-21,The Administration announces new actions to expand and improve COVID-19 testing.,
20-Feb-21,the U.S. passed 28 million cases,
22-Feb-21,"the U.S. surpassed 500,000 deaths",
23-Feb-21,"Governor Gavin Newsom signed into law a comprehensive package of immediate actions that will speed needed relief to individuals, families and businesses suffering the most significant economic hardship due to COVID-19.",
24-Feb-21,"POTUS revokes Proclamation 10014 of April 22, 2020, “Suspension of Entry of Immigrants Who Present a Risk to the United States Labor Market During the Economic Recovery Following the 2019 Novel Coronavirus Outbreak.”",
24-Feb-21,"POTUS revokes Executive Order 13924 of May 19, 2020, “Regulatory Relief to Support Economic Recovery.”",
25-Feb-21,"State Outlines Equity-Centered Plan to Accelerate Access to COVID Vaccines for Education Workers. State has dedicated a minimum of 10 percent of vaccine supply to K-12 school staff and child care workers, or an estimated 75,000 vaccines per week. Plan will build on county and local efforts to accelerate vaccine access for education workers, with a focus on communities disproportionately impacted by the pandemic",
27-Feb-21,U.S. Food and Drug Administration issues an Emergency Use Authorization for third COVID-19 vaccine.,
01-Mar-21,"Governor Gavin Newsom announced an agreement on a $6.6 billion budget package to accelerate the safe return to in-person instruction across California and empower schools to immediately expand academic, mental health and social-emotional supports, including over the summer.",
04-Mar-21,"Governor Gavin Newsom today signed an executive order extending authorization for local governments to halt evictions for commercial renters impacted by the COVID-19 pandemic through June 30, 2021.",
05-Mar-21,Governor Newsom Signs $6.6 Billion Package to Return Kids to the Classroom and Bolster Student Supports,
08-Mar-21,the U.S. passed 29 million cases,
11-Mar-21,"POTUS signs into law H.R. 1319, the “American Rescue Plan Act of 2021,” which provides additional relief to address the continued impact of the COVID-19 pandemic on the economy, public health, state and local governments, individuals and businesses.",
11-Mar-21,"President Joe Biden holds the first prime time address of his presidency. In it, he announced his plan to push states to make vaccines available to all adults by May 1, with the aim to make small gatherings possible by July 4.",
17-Mar-21,California Department of Public Health (CDPH) announced a new public education campaign under its Vaccinate ALL 58 effort to ramp up the connections being made with Californians who have been disproportionately affected by COVID-19 and address questions and concerns they have with the vaccine.,
18-Mar-21,Governor Newsom and State Superintendent Thurmond Announce Deployment of Up to 3 Million Free Rapid COVID-19 Antigen Tests to Help High-Needs Schools Safely Reopen Classrooms,
19-Mar-21,Governor Newsom Signs Legislation to Ensure Access to Supplemental Paid Sick Leave for Workers Impacted by the Pandemic,
24-Mar-21,"POTUS signs into law H.R. 1276, the “Strengthening and Amplifying Vaccination Efforts to Locally Immunize All Veterans and Every Spouse Act or the SAVE LIVES Act,” which expands VA’s authority to provide COVID-19 vaccinations.",
24-Mar-21,the U.S. passed 30 million cases,
25-Mar-21,Biden administration announces $10B investment to expand access to COVID-19 vaccines and build vaccine confidence in hardest-hit and highest-risk communities.,
01-Apr-21,As California Expands COVID-19 Vaccine Eligibility to All Californians 50+,
01-Apr-21,"State Updates Blueprint to Allow Additional Activities with Modifications to Reduce Risk. California Department of Public Health (CDPH) released updates to the state's Blueprint for a Safer Economy reopening framework allowing additional activities to resume with modifications to reduce risk. The updates include gatherings, private events or meetings such as receptions or conferences, and indoor seated live events and performances. These updates take effect April 15. California's framework for loosening and tightening restrictions is governed by the level of COVID-19 spread.",
06-Apr-21,"Governor Gavin Newsom today outlined the state’s next step in the COVID-19 pandemic recovery, moving beyond the Blueprint for a Safer Economy.On June 15, California will fully open its economy if two criteria are met: If vaccine supply is sufficient for Californians 16 years and older who wish to be inoculated; and If hospitalization rates are stable and low",
09-Apr-21,the U.S. passed 31 million cases,
12-Apr-21,"the U.S. reported its first six cases of a new ""double mutant"" SARS-CoV-2 variant from India (B.1.617) in California.",
13-Apr-21,"At the recommendation of the Food and Drug Administration and Centers for Disease Control and Prevention, DOD pauses the use of the Johnson & Johnson vaccine.",
15-Apr-21,All Californians 16+ Now Eligible for COVID-19 Vaccines,
16-Apr-21,"Governor Gavin Newsom announced that he has signed legislation to create a statewide policy for the rehiring of workers laid-off by the pandemic, bolstering the state’s efforts to ensure an equitable recovery from the pandemic.",
22-Apr-21,the U.S. passed 32 million cases,
27-Apr-21,Centers for Disease Control and Prevention updates outdoors face mask guidance for fully vaccinated people.,
28-Apr-21,"At the recommendation of the Food and Drug Administration and Centers for Disease Control and Prevention, DOD resumes the use of the Johnson & Johnson vaccine.",
29-Apr-21,The United States begins delivering $100M+ in supplies to aid India as it copes with a COVID-19 outbreak. DOD is working with other U.S. agencies to rapidly deploy the materials.,
29-Apr-21,"the CDC estimated that roughly 35% of the U.S. population had been infected with the virus as of March 2021, about four times higher than the official reported numbers.",
04-May-21,"POTUS announces goal to administer at least one COVID-19 vaccine shot to 70% of American adults by July 4, 2021.",
06-May-21,"a study by the Institute for Health Metrics and Evaluation estimated that the true COVID-19 death toll in the U.S. was more than 900,000 people.",
13-May-21,the CDC changed its guidance and said that fully vaccinated individuals do not need to wear masks in most situations.,
19-May-21,the U.S. passed 33 million cases,
20-May-21,"Governor Newsom Announces New Resource to Make COVID-19 Vaccinations More Convenient for Working Californians. Governor Gavin Newsom  announced the state’s new Employer Vaccination Toolkit, which will ease the process for employers to request a workplace clinic or local provider partner, making COVID-19 vaccines even more accessible for their employees.",
28-May-21,Governor Newsom Announces Historic “Vax for the Win” Program to Get More Californians Vaccinated by June 15,
28-May-21,"DOD, in coordination with the Department of Health and Human Services, awards $226.3M in contracts and contract modifications to increase domestic production capacity of nitrile gloves and SARS‐CoV‐2 antibody tests.",
02-Jun-21,POTUS announces a national month of action to mobilize an all-of-America sprint to get more people vaccinated by July 4th.,
03-Jun-21,Administration announces its framework for sharing the first 25M doses of at least 80M U.S. COVID-19 vaccine doses globally by the end of June.,
10-Jun-21,POTUS announces that the United States will purchase and donate half a billion Pfizer vaccines to 92 low- and lower middle-income countries and the African Union. The donation serves as the foundation for a coordinated effort by the world’s democracies to vaccinate people around the world.,
15-Jun-21,"the U.S. surpassed 600,000 deaths",
17-Jun-21,Governor Newsom Signs Executive Order Expediting Cal/OSHA’s Revised COVID-19 Regulations to Ensure Consistency with Public Health Guidance,
17-Jun-21,Biden Administration announces $3.2B investment from the American Rescue Plan as part of the COVID-19 Antiviral Development Strategy.,
